# op|a_le_hex|b_le_hex|expected_le_hex
sub|010000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000300000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000000000000000000000000000000000005000000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000|0700000000000000000000000000000000000000000000000000000000000000080000000000000000000000000000000000000000000000000000000000000009000000000000000000000000000000000000000000000000000000000000000a000000000000000000000000000000000000000000000000000000000000000b000000000000000000000000000000000000000000000000000000000000000c00000000000000000000000000000000000000000000000000000000000000|41fd7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e643041fd7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e643041fd7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e643041fd7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e643041fd7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e643041fd7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e6430
mul|010000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000300000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000000000000000000000000000000000005000000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000|0700000000000000000000000000000000000000000000000000000000000000080000000000000000000000000000000000000000000000000000000000000009000000000000000000000000000000000000000000000000000000000000000a000000000000000000000000000000000000000000000000000000000000000b000000000000000000000000000000000000000000000000000000000000000c00000000000000000000000000000000000000000000000000000000000000|78fb7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e643070060000000000000000000000000000000000000000000000000000000000001afc7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e6430ad0400000000000000000000000000000000000000000000000000000000000020fd7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e6430b600000000000000000000000000000000000000000000000000000000000000
square|010000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000300000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000000000000000000000000000000000005000000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000|-|56fc7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e64309e020000000000000000000000000000000000000000000000000000000000009efc7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e6430250200000000000000000000000000000000000000000000000000000000000032fd7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e64303800000000000000000000000000000000000000000000000000000000000000
inv|010000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000300000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000000000000000000000000000000000005000000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000|-|ba55faf8d3f32fd7be2487f4c8f59c396d03c26d82343f4c5c6ce82d8aa3862c52eb5d2aa07c3c9877f7ee8791b561573fd922119318534a93948a647b73330b16617344321e93946654750c9384e2a627c005037f59e78b0d397e911747e60b837e2183dd12af585a5913219a2a5132e226940d11a0a22d83a9f96f884b8209caa67d2610acbe30e00999663e3ac29d1e5874ddbd4b835c0bd8c791285d3c0314ff830a33bdff5abefbe8e6f769f4d6fba295b5d1df2bcc969f21271bf2c41d
add|8310f51b9d5d7a142188951ae7c506c00d260ae23ce974ec226dbf72e85cc62ceb9e92b0b54e67af29c37a9e9545698b55559f050a7fa2fea1173a75632b4209a04fc68f0299a4e2bdb084fbd0ebc416df5d273579eb0f31352d59db9735c61bffdf73ed7cc502c9c52bf47caa93ddae6736af16bcbad8951130f235648f060f5d2f908003a3a86baed13af94aa0b218020a1168204a6fb59612f3e0730ef70eb08694e952bf698fca80403263b9f5a173d9385e790505b92d366657ab077905|c4bac3714f1ecadf995e7fe3d143541633e9d2eafdd91913b94ea985dea2b12debca3458bbe24dec42074a20bcac337117bca3a9872d88b581b44921ca0abd20a81103847bc99222f725aa2bdb75ad9b3ee93b25504e0d78992077a454643b1300c5297c0e0e7a7f09c71fd3ace8c1ad2a7449e598f52c9d633569e9338ec01dad4040c021d349764e6fc73433ac43523e2b3a3d3d998b570f2590f7e2f38b28f565e970e5d5d454a2cbf8183cd354bc790cfa66d081e1af99e7d9d72ebe5c12|00ce3bb5d5ef23b82d1ca395279fd93ee3b65b4b847d3e47b21b371754b1132ad669c7087131b59b6ccac4be51f29cfc6c1143af91ac2ab423cc83962d36ff294861c9137e623705b5d62e27ac6172b21d47635ac9391da9ce4dd07fec99012fffa49d698bd37c48cff21350577c9f5c92aaf8fb54b0053375655b1f981dc72cc37253680eead1a56f7690c5ece174d3e2dcc923a79daa547c9751f7e3b31e07a5ec7d5a38953ee46c4c394b9f8c4a5eede532c54987e668c71d402fdac5d517
sub|8310f51b9d5d7a142188951ae7c506c00d260ae23ce974ec226dbf72e85cc62ceb9e92b0b54e67af29c37a9e9545698b55559f050a7fa2fea1173a75632b4209a04fc68f0299a4e2bdb084fbd0ebc416df5d273579eb0f31352d59db9735c61bffdf73ed7cc502c9c52bf47caa93ddae6736af16bcbad8951130f235648f060f5d2f908003a3a86baed13af94aa0b218020a1168204a6fb59612f3e0730ef70eb08694e952bf698fca80403263b9f5a173d9385e790505b92d366657ab077905|c4bac3714f1ecadf995e7fe3d143541633e9d2eafdd91913b94ea985dea2b12debca3458bbe24dec42074a20bcac337117bca3a9872d88b581b44921ca0abd20a81103847bc99222f725aa2bdb75ad9b3ee93b25504e0d78992077a454643b1300c5297c0e0e7a7f09c71fd3ace8c1ad2a7449e598f52c9d633569e9338ec01dad4040c021d349764e6fc73433ac43523e2b3a3d3d998b570f2590f7e2f38b28f565e970e5d5d454a2cbf8183cd354bc790cfa66d081e1af99e7d9d72ebe5c12|0653ae8264cbd07014f4879fa6ec33413895b878f554ab9193be47ce7c08792f47d1da3011f839ff7386a2e66a03b7b19bf17cdd38976a014a0322350c6fe918f83dc30b87cf11c0c68adacff575177ba074eb0f299d02b99b0ce23643d18a084618c7498543a985492f46128f159d989a1ae7b2d90afcb0d79aba2da34faa21f7ebcc98f85b7f31ed2ce52ca95ef05d213758ac99f63316b18d94ca0369cf16021e28518475b576b57fb981b850227d5725c0785fc973c1bdeebd60ef978023
mul|8310f51b9d5d7a142188951ae7c506c00d260ae23ce974ec226dbf72e85cc62ceb9e92b0b54e67af29c37a9e9545698b55559f050a7fa2fea1173a75632b4209a04fc68f0299a4e2bdb084fbd0ebc416df5d273579eb0f31352d59db9735c61bffdf73ed7cc502c9c52bf47caa93ddae6736af16bcbad8951130f235648f060f5d2f908003a3a86baed13af94aa0b218020a1168204a6fb59612f3e0730ef70eb08694e952bf698fca80403263b9f5a173d9385e790505b92d366657ab077905|c4bac3714f1ecadf995e7fe3d143541633e9d2eafdd91913b94ea985dea2b12debca3458bbe24dec42074a20bcac337117bca3a9872d88b581b44921ca0abd20a81103847bc99222f725aa2bdb75ad9b3ee93b25504e0d78992077a454643b1300c5297c0e0e7a7f09c71fd3ace8c1ad2a7449e598f52c9d633569e9338ec01dad4040c021d349764e6fc73433ac43523e2b3a3d3d998b570f2590f7e2f38b28f565e970e5d5d454a2cbf8183cd354bc790cfa66d081e1af99e7d9d72ebe5c12|87c3b2a79ff8fd6415678fee414e0fb6a9358282a41306c201d6cfc2e5130620f2c745fe8778fd82713a33da224e5195a0909aec109979656990f329d47d162ba0ce36b7368a94f9b9e508fad34d72f998f7bbb905e4d3ebb73f3b689fff84032992bba65bd6a3312013b1ced4c4e309653f235b90dc26c8ee78f25220588c021823a237c985ef05470bc85a2d39ad32f2d793c58eb4e8428edfc62779f8321894cb3a9e65275112b8ace3acb607ca6e0fad91a78122a2f977eae8408e756426
square|8310f51b9d5d7a142188951ae7c506c00d260ae23ce974ec226dbf72e85cc62ceb9e92b0b54e67af29c37a9e9545698b55559f050a7fa2fea1173a75632b4209a04fc68f0299a4e2bdb084fbd0ebc416df5d273579eb0f31352d59db9735c61bffdf73ed7cc502c9c52bf47caa93ddae6736af16bcbad8951130f235648f060f5d2f908003a3a86baed13af94aa0b218020a1168204a6fb59612f3e0730ef70eb08694e952bf698fca80403263b9f5a173d9385e790505b92d366657ab077905|-|37a81296c4cd5b88cddb3e810f888f6c24a73c31b3bef831099f7335ad183f1cd36e9e77588cd45f374bcad9f199634e459112a48363fdcc59822d9543f16118ddd146b520bd6cf9ec121e8f6c5786176d08ddf9912a04a7e8b456908bde001599f9d32c6767939502531ad23715a829b63952475e98fa6b6c6986f96b552303aad0d36dee2e98ec414360d2d9bf28fe6eff256b1c8548be8ba70d12d2ace716f05e4223d62288b58c42e57316e889878a13a7ce5473b191c3d35ec6d15be12f
inv|8310f51b9d5d7a142188951ae7c506c00d260ae23ce974ec226dbf72e85cc62ceb9e92b0b54e67af29c37a9e9545698b55559f050a7fa2fea1173a75632b4209a04fc68f0299a4e2bdb084fbd0ebc416df5d273579eb0f31352d59db9735c61bffdf73ed7cc502c9c52bf47caa93ddae6736af16bcbad8951130f235648f060f5d2f908003a3a86baed13af94aa0b218020a1168204a6fb59612f3e0730ef70eb08694e952bf698fca80403263b9f5a173d9385e790505b92d366657ab077905|-|83740fd9b363c5e09c55b187d6ab0eeeec801ca70fab478e2b1e2bfbd2d38c0eeaafb62906a66f5312ae22173302b6ba9448a302681f73fa47cd7bd994ad3027daed0c8c86847e3ea90182abd1751924ca5424d345bfc2fbf0811e84d9193d003316139a204c2a551bcb95bb66f0acf7377e94901b9de3eb609af11c41e40c2747d9497b0d6744fa8ba77ca5494d19cf2999236750a63e1d11fca15cfa1b4b018d3133a6bca0b29e52bc2c77ae3ac8f9b4e08f53a6dbad49c028fdb306aa7e26
add|e762713bbedcbcdb4a1bf80267829230777d25da80184116efdff8e693fcc01eebf5f37921a65b3998098bb737b09a05584e7b968377fb1db7a1cca90659c9205685f4c527a6e49b7df04e5d6010fa3cb892344868f0d9f56fc4359408513611d9bca9ac14794b37c6d91ea8bbe81d3951067f2a223251e3183498578d0f37151c7fbdf292a257a5bf08f0b0e001647baab79f1fd65347126754e86e33b8c40d83019cfb923dc4055462c6553022f54c77acbdf9169fe29ac0acf1c95e166202|b9f650047cd073f722b2447b8a252867af9d74fa2eab711b8851a24d0f19692808eda338f6da13a381561b9700e7cd4daa0f3f64a470c64ebf0d22949024f80ccb8820230c98475bf1abcbfe1a90fda015be2cb74fb634f6625bb6a1f69cc81b50dbbb7568c5f04608e49a6e77d3d105f4140d557bcf9f60776556fe94192903cd4e07732df8d1472a2d6ac0d52202fdfeabda9f7b65e0bdc0c2feff255dc80e00be7dbdd43d036800d1e76f6be6acb9425279af2475ae6eee05a7741b5ad40d|595c456723211097e002cb15603d3900c9c21853f97d62794d91695330c7c516f3e297b217816fdc1960a64e38976853025ebafa27e8c16c76afee3d977dc12d210e15e9333e2cf76e9c1a5c7ba0f7ddcd5061ffb7a60eecd21fec35ffedfe2c299865227d3e3c7ecebdb91633bcef3e451b8c7f9d01f1439099ee5522296018e9cdc465c09a29ede9355a71b6246678a9637abf51b927d02717e76e59158d1c83bf19b9677bc76d5433aec59b08a206bafe36a93b149109afb2983e7a703610
sub|e762713bbedcbcdb4a1bf80267829230777d25da80184116efdff8e693fcc01eebf5f37921a65b3998098bb737b09a05584e7b968377fb1db7a1cca90659c9205685f4c527a6e49b7df04e5d6010fa3cb892344868f0d9f56fc4359408513611d9bca9ac14794b37c6d91ea8bbe81d3951067f2a223251e3183498578d0f37151c7fbdf292a257a5bf08f0b0e001647baab79f1fd65347126754e86e33b8c40d83019cfb923dc4055462c6553022f54c77acbdf9169fe29ac0acf1c95e166202|b9f650047cd073f722b2447b8a252867af9d74fa2eab711b8851a24d0f19692808eda338f6da13a381561b9700e7cd4daa0f3f64a470c64ebf0d22949024f80ccb8820230c98475bf1abcbfe1a90fda015be2cb74fb634f6625bb6a1f69cc81b50dbbb7568c5f04608e49a6e77d3d105f4140d557bcf9f60776556fe94192903cd4e07732df8d1472a2d6ac0d52202fdfeabda9f7b65e0bdc0c2feff255dc80e00be7dbdd43d036800d1e76f6be6acb9425279af2475ae6eee05a7741b5ad40d|75699d0f59986920b53325f06dc7eb602538326108b31fb3902e887af731bc26e30850412bcb479616b36f2037c9ccb7ad3e3c32df0635cff793aa157634d113d2f9507b329abd7c190ff5c6d6ea7d33002d8912cf7ff5b73609b1d38402d22589e1ed36acb35af0bdf5833944154c335df171d5a662b182a1ce4159f8f50d12962d33587c36a69922a6f7589c49e315096446011134b70cd0311b5080a9602fca409b16d58be1d9e05b504e56a6c92a92b2c5cba86f84e4fb467c36b60af224
mul|e762713bbedcbcdb4a1bf80267829230777d25da80184116efdff8e693fcc01eebf5f37921a65b3998098bb737b09a05584e7b968377fb1db7a1cca90659c9205685f4c527a6e49b7df04e5d6010fa3cb892344868f0d9f56fc4359408513611d9bca9ac14794b37c6d91ea8bbe81d3951067f2a223251e3183498578d0f37151c7fbdf292a257a5bf08f0b0e001647baab79f1fd65347126754e86e33b8c40d83019cfb923dc4055462c6553022f54c77acbdf9169fe29ac0acf1c95e166202|b9f650047cd073f722b2447b8a252867af9d74fa2eab711b8851a24d0f19692808eda338f6da13a381561b9700e7cd4daa0f3f64a470c64ebf0d22949024f80ccb8820230c98475bf1abcbfe1a90fda015be2cb74fb634f6625bb6a1f69cc81b50dbbb7568c5f04608e49a6e77d3d105f4140d557bcf9f60776556fe94192903cd4e07732df8d1472a2d6ac0d52202fdfeabda9f7b65e0bdc0c2feff255dc80e00be7dbdd43d036800d1e76f6be6acb9425279af2475ae6eee05a7741b5ad40d|9e267b7f58259bcd1bd23b35c31c6a452d38b2457dfdca6eeef1ad4f15cd9b0d3995bdc884993b1655ec34c057f78aba9221540bc912c83a1d0360308550e7164a3153a0390e9364f39ae3d3e0cc4e9ef3fea2980d3c6ea26bbbe4b43cd50b00d5776d4c780d6233d0f61c27cc25763aeefebc85484165d2c8835ee7932da406480a086c0e99c985ba8500b9a4251604be17d90f6c02facbe06dba8647887527426c0bc8776874249789caf76093aed6e581506cb1b3051824b877e123bf0d1b
square|e762713bbedcbcdb4a1bf80267829230777d25da80184116efdff8e693fcc01eebf5f37921a65b3998098bb737b09a05584e7b968377fb1db7a1cca90659c9205685f4c527a6e49b7df04e5d6010fa3cb892344868f0d9f56fc4359408513611d9bca9ac14794b37c6d91ea8bbe81d3951067f2a223251e3183498578d0f37151c7fbdf292a257a5bf08f0b0e001647baab79f1fd65347126754e86e33b8c40d83019cfb923dc4055462c6553022f54c77acbdf9169fe29ac0acf1c95e166202|-|574b37f73754862282c02f0267bf1bafecbfd19c09f2ef867ef805a7d272b40e126944333bc9df0d3a78e5669e4ad3b9371d2dbfe0f47d03c0ed27f7695bfd2c109b9798f44b943dcd5a38a437ec1ec02cef8a9f0c550e9411882a59e4768c13becf68369968e20d15fb2b66299714d5639de2782b07241fb31ea0447ab912278a811fbb7fb1fcc771c8bec5654c265ae84fe86e9512738f29a4bbc91b809a29e96ab58ae028eaff080ddbed7554c145c65c5ea4b5ebc3225c387ab0fb9dc321
inv|e762713bbedcbcdb4a1bf80267829230777d25da80184116efdff8e693fcc01eebf5f37921a65b3998098bb737b09a05584e7b968377fb1db7a1cca90659c9205685f4c527a6e49b7df04e5d6010fa3cb892344868f0d9f56fc4359408513611d9bca9ac14794b37c6d91ea8bbe81d3951067f2a223251e3183498578d0f37151c7fbdf292a257a5bf08f0b0e001647baab79f1fd65347126754e86e33b8c40d83019cfb923dc4055462c6553022f54c77acbdf9169fe29ac0acf1c95e166202|-|db02fca2b0253cd97384778a1cf581f68655cd803e6f3b3029881adccdae8c23436132d3b004b32eb3678bc52dc627faeb732668fe3d7184b1c5e441d231800d514a9b1df7c3fb8cf54d0e38db966d2c30b3a8f14e5e36d54edb4cb2f5148911f7926acbaa3c8d977bc11f9405faa6a28523c857295c8dbcccabe1340bec9c23ec871049b4a94efa9d7ba66a80037c76e41fd337629099df80342a3fd73d7f2133b802805ed39694b30e04270c837b68767eb5aac3fae03fbd842889e334cd09
add|ea873cb87417a8fc7212fa04788acb840f8de2cec67a69482a2bad3a080ee1150709173089a502a0655c8223a453c8f4c555073c7ff405dc59d35d39ef0d301d98011c3950edf8f76e845a8906b37f8335c544e0d5c96f8d3f8c9701fd3ffc2a4b858a25dc176033e7cef68690d23b363aeea998d993195ea79429fb76b8521368a782c3c282219b2e19f0d55ceb14a6cf8e78f653ccb778998c15e8e15c6601804fe864475df9c1eac1f6c8fd9346c70a0b911b7e22757d6ad51f510cc7ac09|e9904d010691006a200cad8135fbda29744a60e6e954c1769d54d7262cce5e08ee47353a0f32bc888784310f899b1fd28fae762baa2489c1c8129190dd65d5173f7cedf432e3dc9d972ec91df352c7391f3d94d9196eeb19628db76ab2e3232bf5fbb7476efd08c93f923f80fd7a7abfc15896769a09741e3348e19bb0936f1d905d5b7ba17e4052149f347bdc1a0868d16e347e550b7c09ed9514e580a7c9208dc2315d7f1e0f1ff2d643319a83c97c35aef887d733d550b4e68770f818072c|d3188ab97aa8a866931ea786ad85a6ae83d742b5b0cf2abfc77f846134dc3f1eae53cf91814b9eec5f1642ca9b84662ff8abfce572d33ee5f845bde85925a10490808c556c44b55979e8b13e689bc525f7a9573839f20aef77791d8b3cd5bb25f983c594338948c09996c49efce2345e9eeebe8dbd573dc4b03cd9b5b4fd5d00f804de3e640162ed42b8245139061d0ea1fdac74a9d7338286222acd62043022c6149de9afefe7a44fcec89106ad8eace26008229f10fa15f51b76e091914f05
sub|ea873cb87417a8fc7212fa04788acb840f8de2cec67a69482a2bad3a080ee1150709173089a502a0655c8223a453c8f4c555073c7ff405dc59d35d39ef0d301d98011c3950edf8f76e845a8906b37f8335c544e0d5c96f8d3f8c9701fd3ffc2a4b858a25dc176033e7cef68690d23b363aeea998d993195ea79429fb76b8521368a782c3c282219b2e19f0d55ceb14a6cf8e78f653ccb778998c15e8e15c6601804fe864475df9c1eac1f6c8fd9346c70a0b911b7e22757d6ad51f510cc7ac09|e9904d010691006a200cad8135fbda29744a60e6e954c1769d54d7262cce5e08ee47353a0f32bc888784310f899b1fd28fae762baa2489c1c8129190dd65d5173f7cedf432e3dc9d972ec91df352c7391f3d94d9196eeb19628db76ab2e3232bf5fbb7476efd08c93f923f80fd7a7abfc15896769a09741e3348e19bb0936f1d905d5b7ba17e4052149f347bdc1a0868d16e347e550b7c09ed9514e580a7c9208dc2315d7f1e0f1ff2d643319a83c97c35aef887d733d550b4e68770f818072c|01f7eeb66e86a79252064d83428ff05a9b4282e8dc25a8d18cd6d513dc3f820d19c1e1f579734617ded750141bb8a82236a79010d5cf7c1a91c0cca811a85a05a082ab1c34963c96642003d4a4ca39e173e0318872a1d42b079f1178bdaa3c309d864fb684a677a63407296f24c2420ed6ed94a3f5cff5f79dec7940397347261f47a42038900185a7442dc3113b8ed55b78c5f9b4068c27d69632e4d30301113a8a33e0deca0adf85b52400f57afee132b519155d34f0e4df8ec9c186fc090e
mul|ea873cb87417a8fc7212fa04788acb840f8de2cec67a69482a2bad3a080ee1150709173089a502a0655c8223a453c8f4c555073c7ff405dc59d35d39ef0d301d98011c3950edf8f76e845a8906b37f8335c544e0d5c96f8d3f8c9701fd3ffc2a4b858a25dc176033e7cef68690d23b363aeea998d993195ea79429fb76b8521368a782c3c282219b2e19f0d55ceb14a6cf8e78f653ccb778998c15e8e15c6601804fe864475df9c1eac1f6c8fd9346c70a0b911b7e22757d6ad51f510cc7ac09|e9904d010691006a200cad8135fbda29744a60e6e954c1769d54d7262cce5e08ee47353a0f32bc888784310f899b1fd28fae762baa2489c1c8129190dd65d5173f7cedf432e3dc9d972ec91df352c7391f3d94d9196eeb19628db76ab2e3232bf5fbb7476efd08c93f923f80fd7a7abfc15896769a09741e3348e19bb0936f1d905d5b7ba17e4052149f347bdc1a0868d16e347e550b7c09ed9514e580a7c9208dc2315d7f1e0f1ff2d643319a83c97c35aef887d733d550b4e68770f818072c|4ef860ff59b63665de05f992a3d5f47819245f2b034b6b29b6edaa9512cdbb07c654e5ba10a7d4c483bd985acfc311ff1ac0da041d451488301bec7c24b569140b8e7afbec640f94b367a3980a1e1a65a5b7128eb19121d33bac695ad2a8930d7d2c28af21060c3d53638ebff20fbfd7e1d490fcd930c22d00fed0678068291c386b384ca518098f26c6107611d4107ba9457b93d9672c645344054fd5afe32c60cda445bee076f123889e2dcef8c936724890d520a032a22d01ea6658768c09
