# op|a_le_hex|b_le_hex|expected_le_hex
add|05000000000000000000000000000000000000000000000000000000000000000b00000000000000000000000000000000000000000000000000000000000000|0d000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000|12000000000000000000000000000000000000000000000000000000000000001c00000000000000000000000000000000000000000000000000000000000000
sub|05000000000000000000000000000000000000000000000000000000000000000b00000000000000000000000000000000000000000000000000000000000000|0d000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000|3ffd7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e643041fd7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e6430
mul|05000000000000000000000000000000000000000000000000000000000000000b00000000000000000000000000000000000000000000000000000000000000|0d000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000|cdfc7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e6430e400000000000000000000000000000000000000000000000000000000000000
square|05000000000000000000000000000000000000000000000000000000000000000b00000000000000000000000000000000000000000000000000000000000000|-|e7fc7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e64306e00000000000000000000000000000000000000000000000000000000000000
inv|05000000000000000000000000000000000000000000000000000000000000000b00000000000000000000000000000000000000000000000000000000000000|-|ec81c3f156e1ef7fded9760d20e8ea44c65be74e0609c9e045ebaaa2c45e2c1cbadc4bd0d48e64f8301cde4cdc3c31646d80d2bbf8dd7fe8ec6d1ef60166cd22
conjugate|05000000000000000000000000000000000000000000000000000000000000000b00000000000000000000000000000000000000000000000000000000000000|-|05000000000000000000000000000000000000000000000000000000000000003cfd7cd8168c203c8dca7168916a81975d588181b64550b829a031e1724e6430
add|12b21cff4c474eef5bbdb5e5b0c3711a73f56a09794bf20a7cedf200e807850feddaba6aac528dabde8169ab39021c8fa5ee020644d516b3956f5a900f459905|6749992bf55705fad5dfd4190a6a4d670db696e5d4b33016d91e600f65bef905e602d2bacfbb8db9d3bf988f18cbb155e736356741c26063fb052b61c0e0851d|79fbb52a429f53e9319d8affba2dbf8180ab01ef4dff2221550c53104dc67e15d3dd8c257c0e1b65b241023b52cdcde48c25386d85977716917585f1cf251f23
sub|12b21cff4c474eef5bbdb5e5b0c3711a73f56a09794bf20a7cedf200e807850feddaba6aac528dabde8169ab39021c8fa5ee020644d516b3956f5a900f459905|6749992bf55705fad5dfd4190a6a4d670db696e5d4b33016d91e600f65bef905e602d2bacfbb8db9d3bf988f18cbb155e736356741c26063fb052b61c0e0851d|ab6883d357ef48f585dde0cba65924b3653fd423a497c1f4a2ce92f182498b094ed56588f322202e988c4284b2a1ebd01b104f20b9580608c4096110c2b27718
mul|12b21cff4c474eef5bbdb5e5b0c3711a73f56a09794bf20a7cedf200e807850feddaba6aac528dabde8169ab39021c8fa5ee020644d516b3956f5a900f459905|6749992bf55705fad5dfd4190a6a4d670db696e5d4b33016d91e600f65bef905e602d2bacfbb8db9d3bf988f18cbb155e736356741c26063fb052b61c0e0851d|6c55ee753ba78042f2611ba2c50f03cefd695fe7a922039548285c19a694442ee19dca1466a713c2644b27f2aca434009bb98b50e8ad38ad2e61dcf861d02803
square|12b21cff4c474eef5bbdb5e5b0c3711a73f56a09794bf20a7cedf200e807850feddaba6aac528dabde8169ab39021c8fa5ee020644d516b3956f5a900f459905|-|e470828eedf4fe951a0e3f44e1f9af06a5bf62d840dfe6ad9ea02cc5fdcaf10859ed2d2f87e2a0a3bb0813d45a0eafe9e8a8dfab45cfb35de53bc6c84ec78512
inv|12b21cff4c474eef5bbdb5e5b0c3711a73f56a09794bf20a7cedf200e807850feddaba6aac528dabde8169ab39021c8fa5ee020644d516b3956f5a900f459905|-|65718a617ac8c1e635f62cf2d8413e91ef6bb9c1ad7146dcaf5814abe9000f2b273d8692bcba0ade485f741063ba2cee18ef5368bc6703e8338ea2c983886505
conjugate|12b21cff4c474eef5bbdb5e5b0c3711a73f56a09794bf20a7cedf200e807850feddaba6aac528dabde8169ab39021c8fa5ee020644d516b3956f5a900f459905|-|12b21cff4c474eef5bbdb5e5b0c3711a73f56a09794bf20a7cedf200e807850f5a22c26d6a399390ae4808bd57686508b8697e7b727039059430d7506309cb2a
add|972e70c57c0cdbadf190d5ca14eec5b3a9d2628c22d199df159388f023ccaf1e10fb234c09fb2b0980a324759a69e3d64969245617d63174c3ea9268251a780a|6fae3d16543a74ff7382862ddd7450b77fe8f75414922b9272bdce3d02bc2314a16fc86f8a52320ef269d9254b9fc02ac86c294a3e4d52fd3cb534acddac0b1b|bfdf3003baba2e71d848ea8f60f894d3cb62d95f801d75b95eb0254db3396f02b16aecbb934d5e17720dfe9ae508a40112d64da05523847100a0c71403c78325
sub|972e70c57c0cdbadf190d5ca14eec5b3a9d2628c22d199df159388f023ccaf1e10fb234c09fb2b0980a324759a69e3d64969245617d63174c3ea9268251a780a|6fae3d16543a74ff7382862ddd7450b77fe8f75414922b9272bdce3d02bc2314a16fc86f8a52320ef269d9254b9fc02ac86c294a3e4d52fd3cb534acddac0b1b|288032af28d266ae7d0e4f9d377975fc29ea6a370e3f6e4da3d5b9b221108c0ab688d8b495341a371b04bdb7e034a443df547c8d8fce2f2fb0d58f9dbabbd01f
mul|972e70c57c0cdbadf190d5ca14eec5b3a9d2628c22d199df159388f023ccaf1e10fb234c09fb2b0980a324759a69e3d64969245617d63174c3ea9268251a780a|6fae3d16543a74ff7382862ddd7450b77fe8f75414922b9272bdce3d02bc2314a16fc86f8a52320ef269d9254b9fc02ac86c294a3e4d52fd3cb534acddac0b1b|affc850b9721a021a0828c77e4276848f99afd2778947c131344ad3b615e8c013911fd9c475a8cdd7c570fc2aa02fc7325e688f652f04f26a0e43bc199482d25
square|972e70c57c0cdbadf190d5ca14eec5b3a9d2628c22d199df159388f023ccaf1e10fb234c09fb2b0980a324759a69e3d64969245617d63174c3ea9268251a780a|-|cad3c44e4c9afd0cfe1b56c7931122536cde8b7a79c19d909600171d4ba49010127c56160487129c29b87b3e050113e94add52addb3675436fb6d5b6b2b3760d
inv|972e70c57c0cdbadf190d5ca14eec5b3a9d2628c22d199df159388f023ccaf1e10fb234c09fb2b0980a324759a69e3d64969245617d63174c3ea9268251a780a|-|e6da4f2d20c7aa8793b097f7aac8baf0b37b73cd32be7dc6a7b7306fec43172e287ee9c3ffba3f92b1d2e4325789bb9bf031e51a3d77deb6e2fd45aa25fb972a
conjugate|972e70c57c0cdbadf190d5ca14eec5b3a9d2628c22d199df159388f023ccaf1e10fb234c09fb2b0980a324759a69e3d64969245617d63174c3ea9268251a780a|-|972e70c57c0cdbadf190d5ca14eec5b3a9d2628c22d199df159388f023ccaf1e3702598c0d91f4320d274df3f6009ec013ef5c2b9f6f1e4466b59e784d34ec25
add|f3b95ceada951aa358a5d73d161756d00083bac1eccbe691fd80969adfa3a9142231b8c6d0fbaa53cd891cd094638d0a12f9b4be7e0211a15953081ce6244317|f62f7feb1497f95dea0a04618072b89ce3cd1475962335e8e14744629bdac908b4d28269f7ea8c49806c73f231693f16a4d4f93e742d4f17ecc27a692703242c|e9e9dbd5ef2c140143b0db9e96890e6de450cf3683ef1b7adfc8dafc7a7e731d8f06be57b15a1761c02b1e5a35624b8958752d7c3cea0f001c7651a49ad90213
sub|f3b95ceada951aa358a5d73d161756d00083bac1eccbe691fd80969adfa3a9142231b8c6d0fbaa53cd891cd094638d0a12f9b4be7e0211a15953081ce6244317|f62f7feb1497f95dea0a04618072b89ce3cd1475962335e8e14744629bdac908b4d28269f7ea8c49806c73f231693f16a4d4f93e742d4f17ecc27a692703242c|fd89ddfec5fe20456e9ad3dc95a49d331db5a54c56a8b1a91b39523844c9df0bb55bb235f09c3e46dae71a46f464cf8bcb7c3c01c11a12429730bf933170831b
mul|f3b95ceada951aa358a5d73d161756d00083bac1eccbe691fd80969adfa3a9142231b8c6d0fbaa53cd891cd094638d0a12f9b4be7e0211a15953081ce6244317|f62f7feb1497f95dea0a04618072b89ce3cd1475962335e8e14744629bdac908b4d28269f7ea8c49806c73f231693f16a4d4f93e742d4f17ecc27a692703242c|83f8bf3a837282ec698c9665e95ec23ae877c0fce867446e34b2dcb73299631a1f12c9c0f33e65e324c3454ceecc65ab7d36596c107ef414829ede3b5a912d2a
square|f3b95ceada951aa358a5d73d161756d00083bac1eccbe691fd80969adfa3a9142231b8c6d0fbaa53cd891cd094638d0a12f9b4be7e0211a15953081ce6244317|-|ff5de937a62379203d32883e4652e92428bd70db25f734320c160cab972e7804ce5efcf28be466748155c16275e2c098376d2005cfaa9f5ebc029ad68e20142e
inv|f3b95ceada951aa358a5d73d161756d00083bac1eccbe691fd80969adfa3a9142231b8c6d0fbaa53cd891cd094638d0a12f9b4be7e0211a15953081ce6244317|-|6a9733f9f62215e384001dcd79d3b2f43cde1e03937e132209e29ead5d3b4906421c2307931e4e247afb9b2ca06e32ad70ce7cca1f6106fe641615e81d773018
conjugate|f3b95ceada951aa358a5d73d161756d00083bac1eccbe691fd80969adfa3a9142231b8c6d0fbaa53cd891cd094638d0a12f9b4be7e0211a15953081ce6244317|-|f3b95ceada951aa358a5d73d161756d00083bac1eccbe691fd80969adfa3a91425ccc411469075e8bf405598fc06f48c4b5fccc237433f17d04c29c58c292119
add|64fa909b5d5584193ff4442ef4e157cd379b6c60d6678950cca0d6b7c22aa9064d9538c2795300f702d35e7e2df523fd94b2c89ada87e1a8b9621d7fe775c70c|d911f98fdbb3b5955a8b259f2fe05f8286337b4f35da1bb73c25eab9cb7b7c226059b335f129b51265c2b7e2567e76c1ecc76819c3a515d05032871bbf4fab24|3d0c8a2b39093aaf997f6acd23c2b74fbecee7af0b42a50709c6c0718ea6252966f16e1f54f194cddacaa4f8f20819272422b032e7e7a6c0e0f472b933770e01
sub|64fa909b5d5584193ff4442ef4e157cd379b6c60d6678950cca0d6b7c22aa9064d9538c2795300f702d35e7e2df523fd94b2c89ada87e1a8b9621d7fe775c70c|d911f98fdbb3b5955a8b259f2fe05f8286337b4f35da1bb73c25eab9cb7b7c226059b335f129b51265c2b7e2567e76c1ecc76819c3a515d05032871bbf4fab24|d2e514e4982defbf713391f7556c79e20ec0729257d3bd51b91b1edf69fd9014343902659fb56b202bdb180468e12ed30543e102ce271c9192d0c7449b748018
mul|64fa909b5d5584193ff4442ef4e157cd379b6c60d6678950cca0d6b7c22aa9064d9538c2795300f702d35e7e2df523fd94b2c89ada87e1a8b9621d7fe775c70c|d911f98fdbb3b5955a8b259f2fe05f8286337b4f35da1bb73c25eab9cb7b7c226059b335f129b51265c2b7e2567e76c1ecc76819c3a515d05032871bbf4fab24|62b3ca6e4e647d44de514901958f7ec5e2db9f1caf6409bca439435a6324ce0d06fab3fd93ce47222cc6c186c54536e0589e46882095a920002add44e1736425
square|64fa909b5d5584193ff4442ef4e157cd379b6c60d6678950cca0d6b7c22aa9064d9538c2795300f702d35e7e2df523fd94b2c89ada87e1a8b9621d7fe775c70c|-|c6e4670efba5a887109439e9acf8c0e1b7c55dbcf9d7e5aa9dfd2d5d5e68602e4b954fa766c84bc9a30d49f49466fcef2d8befc451b990a1da5d3e9a68787900
inv|64fa909b5d5584193ff4442ef4e157cd379b6c60d6678950cca0d6b7c22aa9064d9538c2795300f702d35e7e2df523fd94b2c89ada87e1a8b9621d7fe775c70c|-|2ef20cbd4fe381017b384fb0500aa07d86e77f8f6158ff300fa941a1e3f02110d9b4685547257a26c048f1b744842030a5e4ad75a40ac5f1deb177066e1d4e27
conjugate|64fa909b5d5584193ff4442ef4e157cd379b6c60d6678950cca0d6b7c22aa9064d9538c2795300f702d35e7e2df523fd94b2c89ada87e1a8b9621d7fe775c70c|-|64fa909b5d5584193ff4442ef4e157cd379b6c60d6678950cca0d6b7c22aa906fa6744169d3820458af712ea63755d9ac8a5b8e6dbbd6e0f703d14628bd89c23
